Table Name,Category,App Name,OS,Device Count
Table 2,Games > Puzzle,Hit it Rich! Free Casino Slots,Android,41458390
Table 2,Games > Casual,Free Slots: Hot Vegas Slot Machines,Android,1855256
Table 2,Games > Card,Game of Thrones Slots Casino - Slot Machine Games,Android,1510492
Table 2,Games > Casual,Slots - casino slot machines free,Android,196055
Table 2,Games > Casual,my KONAMI Slots – Casino Slots,Android,168844
Table 2,Games,Jackpot Master Slots,iOS,134818
Table 2,Games > Puzzle,Bingo Bash - Bingo & Slots,Android,70173
Table 2,Games,Huge Win Slots: Las Vegas Casino Free Spin to 777,iPadOS,59960
Table 2,Games > Puzzle,Cashman Casino - Free Slots Machines & Vegas Games,Android,53207
Table 2,Games > Casino,Grand Cash Slots: Free Casino Game,Android,52979
Table 2,Games,Big Fish Casino – Play Slots & Vegas Games,iOS,49784
Table 2,Games > Puzzle,Classic Slots - Free Casino Slot Games,Android,46870
Table 2,Games,Cash Tornado Slots - Vegas Casino Slots,iPadOS,42617
Table 2,Games,Heart of Vegas™ Slots – Free Slot Casino Games,iPadOS,32623
Table 2,Games > Puzzle,Double Win Slots Casino Game,Android,31772
Table 2,Games > Card,Scatter Slots: Free Casino Slot Machines Online,Android,30349
Table 2,Games,Jackpot Mania™ - Casino Slots,iOS,28246
Table 2,Games > Puzzle,Lightning Link Casino – Free Slots Games,Android,27529
Table 2,Games > Card,Slotsmash - Casino Slot Games,Android,26667
Table 2,Games > Casino,Cashman Casino Las Vegas Slots,Android,21683
Table 2,Games > Casual,POP! Slots - Free Vegas Casino Slot Machine Games,Android,20632
Table 2,Games > Casino,Cash Frenzy™ - Slots Casino,GoogleTV,20595
Table 2,Games > Strategy,Slots Billionaire - Free Casino Slot Games!,Android,20168
Table 2,Games > Board,my KONAMI Slots - Free Vegas Casino Slot Machines,Android,20115
Table 2,Games > Puzzle,Scatter Slots: Hot Vegas Slots,Android,19489
Table 2,Games,Jackpot Boom Free Slots : Spin Vegas Casino Games,iOS,18176
Table 2,Games > Casino,Classic Slots™: Vegas Casino,Android,17975
Table 2,Games > Casino,Ape About Slots - Best New Vegas Slot Games Free,Android,17649
Table 2,Games,Slots Era: Best Online Casino Slots Machines,iOS,17022
Table 2,Games,Cash Bash Casino - Free Slots Games,iPadOS,16622
Table 2,Games > Casino,Slots Billionaire - Free Casino Slot Games!,Android,16504
Table 2,Games > Casual,ARK Slots - Wild Vegas Casino & Fun Slot Machines,Android,15642
Table 2,Games > Card,myVEGAS Slots - Vegas Casino Slot Machine Games,Android,15256
Table 2,Games > Puzzle,Slots,Android,15077
Table 2,Games > Casual,Double Rich - Free Vegas Classic & Video Slots,Android,14389
Table 2,Games > Puzzle,GSN Casino Slots: Free Online Slot Games,iOS,14014
Table 2,Games,Bingo Bash: Bingo & Slots,iOS,13411
Table 2,Games,Rock N' Cash Casino Slots -Free Vegas Slot Machine,iPadOS,13301
Table 2,Games,Jackpot Magic Slots™: Vegas Casino & Slot Machines,iPadOS,12451
Table 2,Games > Puzzle,Game of Thrones Slots Casino,Android,11795
Table 2,Games > Puzzle,Lucky Hit! Slots -The Best FREE Slots Game!,Android,11719
Table 2,Games,Slots: Epic Jackpot Free Slot Games Vegas Casino,iOS,11388
Table 2,Games,Heart of Vegas – Slots Casino,iOS,10600
Table 2,Games > Puzzle,Cash Frenzy™ Casino – Free Slots Games,Android,10435
Table 2,Games,Wizard of Oz Free Slots Casino,iOS,10223
Table 2,Games > Puzzle,Double Win Casino Slots - Free Video Slots Games,Android,9955
Table 2,Games > Puzzle,Slots - casino slot machines free,Android,9722
Table 2,Games,Lightning Link Casino Slots,iOS,9573
Table 2,Games > Puzzle,Cash Tornado Slots - Casino,Android,9107
Table 2,Games > Casino,Club Vegas Casino – New Slots Machines Free,Android,9042
Table 2,Games > Card,Classic Slots - Wild Classic Vegas Slots Game,Android,8902
Table 2,Games > Casual,myVEGAS Slots – Casino Slots,Android,8258
Table 2,Games,Cash Hoard Slots！Real Las Vegas Casino Slots Game,iOS,8214
Table 2,Games,Slots Era: Best Vegas Casino,iOS,7744
Table 2,Games,Golden Casino: Vegas Slots,iOS,7094
Table 2,Games > Puzzle,Big Fish Casino: Slots & Games,Android,6901
Table 2,Games > Puzzle,Vegas Live Slots,Android,6531
Table 2,Games > Casual,Winning Slots,Android,6062
Table 2,Games > Puzzle,Bravo Slots: Classic Slots Las Vegas Casino Games,Android,6016
Table 2,Games > Board,Bingo Bash HD - Bingo & Slots,Android,5583
