app_name,os,audience_name,audience_id,estimated_count,status
Bingo Quest - Summer Garden Adventure,Android,US_Android_Bingo Quest Summer Garden Adventure_PIE,6962617765835,0,⚠ Empty
Word Bingo - Fun Word Game,Android,US_Android_Word Bingo Fun Word Game_PIE,6962619331235,0,⚠ Empty
BINGO!,iOS,US_iOS_BINGO_PIE,6962619742835,0,⚠ Empty
Bingo Bash - Bingo & Slots,Android,US_Android_Bingo Bash Bingo and Slots_PIE,6962619979035,0,⚠ Empty
Bingo Clash: win real cash,iOS,US_iOS_Bingo Clash win real cash_PIE,6962620231435,0,⚠ Empty
Bingo Party - Free Bingo Games,Android,US_Android_Bingo Party Free Bingo Games_PIE,6962620424235,0,⚠ Empty
Bingo Scapes - Lucky Bingo Game Free to Play,GoogleTV,US_GoogleTV_Bingo Scapes Lucky Bingo Game Free to Play_PIE,6962621429635,0,⚠ Empty
Money Bingo - Win Rewards & Huge Cash Out!,iPadOS,US_iPadOS_Money Bingo Win Rewards and Huge Cash Out_PIE,6962621623235,0,⚠ Empty
Bingo Frenzy: Bingo caller Bingo games for free,Android,US_Android_Bingo Frenzy Bingo caller Bingo games for free_PIE,6962621811835,0,⚠ Empty
Bingo Bash: Bingo & Slots,iOS,US_iOS_Bingo Bash Bingo and Slots_PIE,6962622100235,0,⚠ Empty
Bingo Classic Game - Offline Free,iOS,US_iOS_Bingo Classic Game Offline Free_PIE,6962622782235,0,⚠ Empty
Bingo! Free Bingo Games,Android,US_Android_Bingo Free Bingo Games_PIE,6962623178035,0,⚠ Empty
Bingo Country Days,iOS,US_iOS_Bingo Country Days_PIE,6962623748235,0,⚠ Empty
Bingo Wild-Free BINGO Games Online: Fun Bingo Game,Android,US_Android_Bingo WildFree BINGO Games Online Fun Bingo Game_PIE,6962624692435,0,⚠ Empty
Cash Book,Android,US_Android_Cash Book_PIE,6962625038035,0,⚠ Empty
Cashman Casino - Free Slots Machines & Vegas Games,Android,US_Android_Cashman Casino Free Slots Machines and Vegas Games_PIE,6962582136435,0,⚠ Empty
Grand Cash Slots: Free Casino Game,Android,US_Android_Grand Cash Slots Free Casino Game_PIE,6962625698835,0,⚠ Empty
Play and Win - Win Cash Prizes!,Android,US_Android_Play and Win Win Cash Prizes_PIE,6962626284835,0,⚠ Empty
Cashier in the supermarket. Games for kids,Android,US_Android_Cashier in the supermarket. Games for kids_PIE,6962627015635,0,⚠ Empty
Cash Tornado Slots - Vegas Casino Slots,iPadOS,US_iPadOS_Cash Tornado Slots Vegas Casino Slots_PIE,6962627679235,0,⚠ Empty
Pocket7Games: Play for Cash,iOS,US_iOS_Pocket7Games Play for Cash_PIE,6962628193835,0,⚠ Empty
Solitaire Cash,iOS,US_iOS_Solitaire Cash_PIE,6962628522035,0,⚠ Empty
Cashman Casino Las Vegas Slots,Android,US_Android_Cashman Casino Las Vegas Slots_PIE,6962628897635,0,⚠ Empty
Cash Frenzy™ - Slots Casino,GoogleTV,US_GoogleTV_Cash Frenzy Slots Casino_PIE,6962629423035,0,⚠ Empty
Cash Bash Casino - Free Slots Games,iPadOS,US_iPadOS_Cash Bash Casino Free Slots Games_PIE,6962630001235,0,⚠ Empty
Cash Inc. Fame & Fortune Game,Android,US_Android_Cash Inc. Fame and Fortune Game_PIE,6962630443635,0,⚠ Empty
Rock N' Cash Casino Slots -Free Vegas Slot Machine,iPadOS,US_iPadOS_Rock N' Cash Casino Slots Free Vegas Slot Machine_PIE,6962631210835,0,⚠ Empty
Play To Win: Win Real Money in Cash Sweepstakes,iOS,US_iOS_Play To Win Win Real Money in Cash Sweepstakes_PIE,6962632880035,0,⚠ Empty
PCH Lotto - Real Cash Jackpots,Android,US_Android_PCH Lotto Real Cash Jackpots_PIE,6962635369235,0,⚠ Empty
Cash Frenzy™ Casino – Free Slots Games,Android,US_Android_Cash Frenzy Casino Free Slots Games_PIE,6962636406435,0,⚠ Empty
Words to Win: Cash Giveaway,Android,US_Android_Words to Win Cash Giveaway_PIE,6962637455035,0,⚠ Empty
Cash Tornado Slots - Casino,Android,US_Android_Cash Tornado Slots Casino_PIE,6962637891635,0,⚠ Empty
Cash Hoard Slots！Real Las Vegas Casino Slots Game,iOS,US_iOS_Cash Hoard Slots！Real Las Vegas Casino Slots Game_PIE,6962638233635,0,⚠ Empty
Weed Inc: Idle Cash,Android,US_Android_Weed Inc Idle Cash_PIE,6962638541435,0,⚠ Empty
Game of Thrones Slots Casino - Slot Machine Games,Android,US_Android_Game of Thrones Slots Casino Slot Machine Games_PIE,6962638922235,0,⚠ Empty
Slots - casino slot machines free,Android,US_Android_Slots casino slot machines free_PIE,6962639895435,0,⚠ Empty
my KONAMI Slots – Casino Slots,Android,US_Android_my KONAMI Slots Casino Slots_PIE,6962640362035,0,⚠ Empty
Huge Win Slots: Las Vegas Casino Free Spin to 777,iPadOS,US_iPadOS_Huge Win Slots Las Vegas Casino Free Spin to 777_PIE,6962640765835,0,⚠ Empty
Golden Casino - Best Free Slot Machines  Games,Android,US_Android_Golden Casino Best Free Slot Machines Games_PIE,6962641186035,0,⚠ Empty
Big Fish Casino – Play Slots & Vegas Games,iOS,US_iOS_Big Fish Casino Play Slots and Vegas Games_PIE,6962641668035,0,⚠ Empty
Classic Slots - Free Casino Slot Games,Android,US_Android_Classic Slots Free Casino Slot Games_PIE,6962642041235,0,⚠ Empty
Coin Dozer: Casino,iOS,US_iOS_Coin Dozer Casino_PIE,6962642469635,0,⚠ Empty
Heart of Vegas™ Slots – Free Slot Casino Games,iPadOS,US_iPadOS_Heart of Vegas Slots Free Slot Casino Games_PIE,6962642752835,0,⚠ Empty
Double Win Slots Casino Game,Android,US_Android_Double Win Slots Casino Game_PIE,6962642970235,0,⚠ Empty
Scatter Slots: Free Casino Slot Machines Online,Android,US_Android_Scatter Slots Free Casino Slot Machines Online_PIE,6962594986035,0,⚠ Empty
